major minor  #blocks  name
   7        0      98304 loop0
 253        0     262144 zram0
 179        0   15388672 mmcblk0
 179        1        128 mmcblk0p1
 179        2        128 mmcblk0p2
 179        3       1664 mmcblk0p3
 179        4       1792 mmcblk0p4
 179        5        256 mmcblk0p5
 179        6       4096 mmcblk0p6
 179        7       4096 mmcblk0p7
 179        8       2048 mmcblk0p8
 179        9       4096 mmcblk0p9
 179       10       2048 mmcblk0p10
 179       11       4096 mmcblk0p11
 179       12       2048 mmcblk0p12
 179       13      14336 mmcblk0p13
 179       14      15360 mmcblk0p14
 179       15       1024 mmcblk0p15
 179       16      32768 mmcblk0p16
 179       17      32768 mmcblk0p17
 179       18       8192 mmcblk0p18
 179       19       8192 mmcblk0p19
 179       20      32768 mmcblk0p20
 179       21      20480 mmcblk0p21
 179       22       8192 mmcblk0p22
 179       23       4096 mmcblk0p23
 179       24       8192 mmcblk0p24
 179       25       4096 mmcblk0p25
 179       26      61440 mmcblk0p26
 179       27       4096 mmcblk0p27
 179       28      12288 mmcblk0p28
 179       29      24576 mmcblk0p29
 179       30      65536 mmcblk0p30
 179       31      65536 mmcblk0p31
 179       32      32768 mmcblk0p32
 179       33      16384 mmcblk0p33
 179       34      65536 mmcblk0p34
 179       35       2048 mmcblk0p35
 179       36       2048 mmcblk0p36
 179       37     524288 mmcblk0p37
 179       38    1572864 mmcblk0p38
 179       39     262144 mmcblk0p39
 179       40   12460032 mmcblk0p40
 179      126       4096 mmcblk0rpmb
 179       84       4096 mmcblk0boot1
 179       42       4096 mmcblk0boot0
  31        0        128 mtdblock0
  31        1        128 mtdblock1
  31        2       4096 mtdblock2
  31        3       4096 mtdblock3
  31        4       4096 mtdblock4
  31        5      61440 mtdblock5
  31        6       4096 mtdblock6
  31        7      24576 mtdblock7
 179      168   15558144 mmcblk1
 179      169   15557120 mmcblk1p1
  31        8       4096 mtdblock8
